Green;18192;8932;1092;1193;1088;3422;1090;1193;1091;493;1088;1195;1089;1194;1091;1193;1089;1187;1088;3422;1089;1195;1090;3419;1088;3422;1091;3418;1088;3424;1088;3421;1090;3417;1091;1194;1087;3423;1088;3421;1089;1196;1088;1195;1088;3422;1089;2825;1087;3427;1089;3420;1091;1193;1090;1193;1091;3420;1092;3418;1089;1194;1090;1194;1090;1194;1089;0;67
Red;18150;8930;1092;1194;1089;3421;1090;809;1090;1195;1037;1246;1090;1194;1088;1195;1089;1187;1091;3419;1091;1194;1090;3419;1092;3419;1091;3420;1088;3423;1088;3424;1088;3418;1087;1198;1089;3419;1091;3421;1088;1197;1087;3421;1090;3147;1090;3420;1089;3426;1089;3420;1093;1192;1089;1194;1090;3421;1090;1194;1088;1197;1088;1193;1091;1194;1089;0;67
Vol--;18193;8929;1093;1193;1089;3421;1087;187;1088;1195;1087;1197;1088;1196;1089;1194;1086;1189;1086;3422;1090;1194;1088;3421;1088;3421;1089;3419;1091;3419;1092;3417;1089;3417;1092;1191;1088;3421;1090;3418;1090;1194;1089;1194;1087;276;1091;3418;1090;3424;1089;3420;1089;1194;1088;1196;1087;3422;1090;3419;1089;1194;1090;1194;1088;1195;1088;0;67
Vol++;18190;8932;1090;1195;1091;3419;1090;1196;1090;1193;1088;1196;1089;1195;1090;1195;1088;1187;1089;932;1089;1196;1087;3422;1091;3419;1089;3422;1090;3420;1090;3420;1093;3414;1092;1194;1037;3474;1088;1197;1088;3421;1089;1195;1090;3420;1090;1195;1087;3425;1091;3419;1088;1197;1091;3226;1085;1198;1087;3422;1090;1194;1087;3423;1089;1196;1088;0;67
Mute;18143;8931;1089;1196;1089;3424;1086;1197;1090;1193;1088;1199;1083;1197;1090;1195;1084;899;1086;3422;1091;1196;1089;3421;1087;3424;1085;3425;1083;3427;1034;3475;1090;3418;1089;1194;1088;3421;1085;1200;1086;3423;1089;1198;1084;3423;1090;3420;1088;3425;1090;3128;1091;1195;1085;3422;1088;1199;1086;3423;1090;1194;1086;1197;1088;1196;1083;0;67
CamUp;18158;8935;1092;1196;1090;3421;1090;1196;1089;1196;1087;1198;1090;1194;1088;1197;1090;1185;1091;3421;1088;1196;1090;2012;1091;3419;1092;3419;1092;3420;1089;3420;1092;3416;1090;1194;1089;3421;1091;3418;1092;1194;1092;1191;1090;3419;1093;1192;1093;3423;1091;3418;1093;1190;1095;1191;1088;3423;886;3422;1090;1193;1090;3419;1091;1194;1090;0;67
CamDn;18147;8930;1092;1196;1088;3421;1090;1193;1091;1195;1088;1195;1088;1196;1089;1196;1087;1189;1086;2665;1086;1199;1089;3421;1088;3423;1086;3423;1093;3418;1088;3423;1091;3416;1092;1194;1088;3424;1087;3421;1092;1194;1089;3422;1089;3422;1090;1194;1091;3425;1090;399;1091;1193;1092;1193;1090;3422;1091;1193;1091;1194;1092;3420;1090;1193;1092;0;67
CamLeft;18150;8931;1093;1194;1088;3422;1090;1194;1091;1193;1089;1195;1091;1194;1089;1194;1089;1186;207;3420;1091;1194;1088;3422;1091;3420;1091;3420;1091;3420;1090;3419;1092;3416;1086;1199;1090;3421;1088;3422;1090;3420;1092;1193;1088;3423;1089;1195;1089;3427;1089;1358;1091;1193;1092;1192;1090;1195;1088;3422;1088;1197;1089;3421;1091;1194;1090;0;67
CamRight;18153;8897;1079;1246;1086;3426;1087;1197;1090;1196;1088;1197;1084;1197;1088;1196;1087;1188;1087;3423;1091;1196;1088;3425;1089;3423;1087;3424;1088;3425;1093;3418;1041;3469;1090;1194;1089;3425;1089;3423;1090;3424;1089;3423;1089;21;1087;1198;1088;3429;1089;3424;1085;1200;1090;1194;1089;1194;1090;1196;1090;1195;1087;3425;1090;1195;1090;0;67
Zoom++;18153;8931;1093;1195;1091;3421;1086;1198;1089;1197;1088;1195;1087;1197;1088;1195;1089;1187;1089;3421;1091;1194;978;3422;1091;3421;1092;3419;1092;3418;1093;3419;1092;3417;1091;3419;1091;3421;1090;1194;1089;1195;1088;1197;1086;3425;1088;1196;1089;3428;1090;1194;1092;1192;1088;3423;1090;2195;1088;3422;1090;1195;1091;3420;1089;1196;1091;0;67
